Provider ID	Name	Address	City	State	ZIP	County	Phone	Hospital Type	Ownership	Emergency Services	Location
10046	RIVERVIEW REGIONAL MEDICAL CENTER	600 SOUTH THIRD STREET	GADSDEN	AL	35901	ETOWAH	2565435200	Acute Care Hospitals	Proprietary	TRUE	600 SOUTH THIRD STREET GADSDEN, AL 35901 (34.003378506000445, -86.00409109099968)
10047	GEORGIANA MEDICAL CENTER	515 N MIRANDA AVENUE	GEORGIANA	AL	36033	BUTLER	3343762205	Acute Care Hospitals	Proprietary	TRUE	515 N MIRANDA AVENUE GEORGIANA, AL 36033 (31.636361081000473, -86.74277274699966)
10049	MEDICAL CENTER ENTERPRISE	400 N EDWARDS STREET	ENTERPRISE	AL	36330	COFFEE	3343470584	Acute Care Hospitals	Proprietary	TRUE	400 N EDWARDS STREET ENTERPRISE, AL 36330 (31.31871961900049, -85.85572776999965)
10051	GREENE COUNTY HOSPITAL	509 WILSON AVENUE	EUTAW	AL	35462	GREENE	2053723388	Acute Care Hospitals	Government - Local	TRUE	509 WILSON AVENUE EUTAW, AL 35462 (32.84235320300047, -87.89002235799967)
10052	LAKE MARTIN COMMUNITY HOSPITAL	201 MARIARDEN ROAD	DADEVILLE	AL	36853	TALLAPOOSA	2568257821	Acute Care Hospitals	Proprietary	TRUE	201 MARIARDEN ROAD DADEVILLE, AL 36853 (32.818677884000465, -85.74161727099965)
10054	DECATUR MORGAN HOSPITAL-PARKWAY CAMPUS	1874 BELTLINE RD SW	DECATUR	AL	35601	MORGAN	2563502211	Acute Care Hospitals	Proprietary	TRUE	1874 BELTLINE RD SW DECATUR, AL 35601 (34.575749027000484, -87.01654568799967)
10055	FLOWERS HOSPITAL	4370 WEST MAIN STREET	DOTHAN	AL	36305	HOUSTON	3347935000	Acute Care Hospitals	Proprietary	TRUE	4370 WEST MAIN STREET DOTHAN, AL 36305 (31.23582677000047, -85.45721340799969)
10056	ST VINCENT'S BIRMINGHAM	810 ST VINCENT'S DRIVE	BIRMINGHAM	AL	35205	JEFFERSON	2059397000	Acute Care Hospitals	Voluntary non-profit - Private	TRUE	810 ST VINCENT'S DRIVE BIRMINGHAM, AL 35205 (33.50797325600047, -86.78874763899967)
10058	BIBB MEDICAL CENTER	208 PIERSON AVE	CENTREVILLE	AL	35042	BIBB	2059264881	Acute Care Hospitals	Government - Hospital District or Authority	TRUE	208 PIERSON AVE CENTREVILLE, AL 35042 (32.95133452600044, -87.14764515199965)
10059	LAWRENCE MEDICAL CENTER	202 HOSPITAL STREET	MOULTON	AL	35650	LAWRENCE	2569742200	Acute Care Hospitals	Government - Hospital District or Authority	TRUE	202 HOSPITAL STREET MOULTON, AL 35650 (34.48294597500046, -87.28600283599968)
10061	HIGHLANDS MEDICAL CENTER	380 WOODS COVE ROAD	SCOTTSBORO	AL	35768	JACKSON	2562594444	Acute Care Hospitals	Government - Hospital District or Authority	TRUE	380 WOODS COVE ROAD SCOTTSBORO, AL 35768 (34.66168264000049, -86.04673208299965)
10062	WIREGRASS MEDICAL CENTER	1200 W MAPLE AVENUE	GENEVA	AL	36340	GENEVA	3346843655	Acute Care Hospitals	Government - Hospital District or Authority	TRUE	1200 W MAPLE AVENUE GENEVA, AL 36340 (31.048047469000437, -85.89112586699969)
10065	RUSSELL HOSPITAL	3316 HIGHWAY 280	ALEXANDER CITY	AL	35010	TALLAPOOSA	2563297100	Acute Care Hospitals	Voluntary non-profit - Private	TRUE	3316 HIGHWAY 280 ALEXANDER CITY, AL 35010 (32.93133494900047, -85.96878845399965)
10066	FLORALA MEMORIAL HOSPITAL	24273 FIFTH AVENUE	FLORALA	AL	36442	COVINGTON	3348583287	Acute Care Hospitals	Proprietary	TRUE	24273 FIFTH AVENUE FLORALA, AL 36442 (30.999857891000488, -86.31333805599968)
10069	MEDICAL CENTER BARBOUR	820 W WASHINGTON ST	EUFAULA	AL	36027	BARBOUR	3346887271	Acute Care Hospitals	Government - Hospital District or Authority	TRUE	820 W WASHINGTON ST EUFAULA, AL 36027 (31.88801827700047, -85.15606109899966)
10073	CLAY COUNTY HOSPITAL	83825 HIGHWAY 9    P O BOX 1270	ASHLAND	AL	36251	CLAY	2563542131	Acute Care Hospitals	Government - Hospital District or Authority	TRUE	83825 HIGHWAY 9 P O BOX 1270 ASHLAND, AL 36251 (33.27665890600048, -85.82361169599966)
10078	NORTHEAST ALABAMA REGIONAL MED CENTER	400 EAST 10TH STREET	ANNISTON	AL	36207	CALHOUN	2562355121	Acute Care Hospitals	Government - Local	TRUE	400 EAST 10TH STREET ANNISTON, AL 36207 (33.657075604000454, -85.82345700699966)
10079	ATHENS-LIMESTONE HOSPITAL	700 WEST MARKET STREET	ATHENS	AL	35611	LIMESTONE	2562339292	Acute Care Hospitals	Government - Hospital District or Authority	TRUE	700 WEST MARKET STREET ATHENS, AL 35611 (34.80357778700045, -86.97837640199964)
10083	SOUTH BALDWIN REGIONAL MEDICAL CENTER	1613 NORTH MCKENZIE STREET	FOLEY	AL	36535	BALDWIN	2519493400	Acute Care Hospitals	Proprietary	TRUE	1613 NORTH MCKENZIE STREET FOLEY, AL 36535 (30.425680472000465, -87.68324211899966)
10085	DECATUR MORGAN HOSPITAL-DECATUR CAMPUS	1201 7TH STREET SE	DECATUR	AL	35601	MORGAN	2563412000	Acute Care Hospitals	Government - Hospital District or Authority	TRUE	1201 7TH STREET SE DECATUR, AL 35601 (34.59115554700048, -86.97263926799968)
10086	NORTHWEST MEDICAL CENTER	1530 U S HIGHWAY 43	WINFIELD	AL	35594	MARION	2054877736	Acute Care Hospitals	Proprietary	TRUE	1530 U S HIGHWAY 43 WINFIELD, AL 35594 (33.92936502000049, -87.82463746799965)
10087	UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER	2451 FILLINGIM STREET	MOBILE	AL	36617	MOBILE	2514717110	Acute Care Hospitals	Government - State	TRUE	2451 FILLINGIM STREET MOBILE, AL 36617 (30.708153140000434, -88.09899576899966)
10089	WALKER BAPTIST MEDICAL CENTER	3400 HIGHWAY 78 EAST	JASPER	AL	35502	WALKER	2053874000	Acute Care Hospitals	Voluntary non-profit - Private	TRUE	3400 HIGHWAY 78 EAST JASPER, AL 35502 (33.84104873700045, -87.23655598599964)
10090	PROVIDENCE HOSPITAL	6801 AIRPORT BOULEVARD	MOBILE	AL	36608	MOBILE	2516331000	Acute Care Hospitals	Voluntary non-profit - Church	TRUE	6801 AIRPORT BOULEVARD MOBILE, AL 36608 (30.68208912600045, -88.19924246099964)
10091	GROVE HILL MEMORIAL HOSPITAL	295 JACKSON HWY S	GROVE HILL	AL	36451	CLARKE	2512753191	Acute Care Hospitals	Government - Local	TRUE	295 JACKSON HWY S GROVE HILL, AL 36451 (31.694777115000477, -87.77707493799966)
10092	D C H REGIONAL MEDICAL CENTER	809 UNIVERSITY BOULEVARD EAST	TUSCALOOSA	AL	35401	TUSCALOOSA	2057597111	Acute Care Hospitals	Government - Hospital District or Authority	TRUE	809 UNIVERSITY BOULEVARD EAST TUSCALOOSA, AL 35401 (33.20617336400045, -87.52548321599966)
10095	HALE COUNTY HOSPITAL	508 GREEN STREET	GREENSBORO	AL	36744	HALE	3346243024	Acute Care Hospitals	Government - Local	TRUE	508 GREEN STREET GREENSBORO, AL 36744 (32.69475011200046, -87.58692229699966)
10097	ELMORE COMMUNITY HOSPITAL	500 HOSPITAL DRIVE	WETUMPKA	AL	36092	ELMORE	3345674311	Acute Care Hospitals	Government - State	TRUE	500 HOSPITAL DRIVE WETUMPKA, AL 36092 (32.55226755500047, -86.18703624199964)
10099	D W MCMILLAN MEMORIAL HOSPITAL	1301 BELLEVILLE AVENUE	BREWTON	AL	36426	ESCAMBIA	2518678061	Acute Care Hospitals	Government - Hospital District or Authority	TRUE	1301 BELLEVILLE AVENUE BREWTON, AL 36426 (31.12721365100049, -87.07247839899969)
10100	THOMAS HOSPITAL	750 MORPHY AVENUE	FAIRHOPE	AL	36532	BALDWIN	2519282375	Acute Care Hospitals	Government - Hospital District or Authority	TRUE	750 MORPHY AVENUE FAIRHOPE, AL 36532 (30.519966314000442, -87.88950804299964)
10101	CITIZENS BAPTIST MEDICAL CENTER	604 STONE AVENUE	TALLADEGA	AL	35161	TALLADEGA	2567614542	Acute Care Hospitals	Voluntary non-profit - Private	TRUE	604 STONE AVENUE TALLADEGA, AL 35161 (33.43980936100047, -86.09087857399965)
10102	J PAUL JONES HOSPITAL	317 MCWILLIAMS AVENUE	CAMDEN	AL	36726	WILCOX	3346824131	Acute Care Hospitals	Government - Hospital District or Authority	FALSE	317 MCWILLIAMS AVENUE CAMDEN, AL 36726 (31.998070896000456, -87.29947924699968)
10103	BAPTIST MEDICAL CENTER-PRINCETON	701 PRINCETON AVENUE SOUTHWEST	BIRMINGHAM	AL	35211	JEFFERSON	2057833800	Acute Care Hospitals	Voluntary non-profit - Church	TRUE	701 PRINCETON AVENUE SOUTHWEST BIRMINGHAM, AL 35211 (33.49916636600045, -86.84589505599968)
10104	TRINITY MEDICAL CENTER	800 MONTCLAIR RD	BIRMINGHAM	AL	35213	JEFFERSON	2055921000	Acute Care Hospitals	Proprietary	TRUE	800 MONTCLAIR RD BIRMINGHAM, AL 35213 (33.51533518400049, -86.74670548499967)
10108	PRATTVILLE BAPTIST HOSPITAL	124 S MEMORIAL DR	PRATTVILLE	AL	36067	AUTAUGA	3343614267	Acute Care Hospitals	Government - Hospital District or Authority	TRUE	124 S MEMORIAL DR PRATTVILLE, AL 36067 (32.464199514000484, -86.45095276899968)
10109	PICKENS COUNTY MEDICAL CENTER	241 ROBERT K WILSON DRIVE	CARROLLTON	AL	35447	PICKENS	2053678111	Acute Care Hospitals	Government - Hospital District or Authority	TRUE	241 ROBERT K WILSON DRIVE CARROLLTON, AL 35447 (33.27475081300048, -88.08964716099968)
10110	BULLOCK COUNTY HOSPITAL	102 WEST CONECUH AVENUE	UNION SPRINGS	AL	36089	BULLOCK	3347382140	Acute Care Hospitals	Proprietary	TRUE	102 WEST CONECUH AVENUE UNION SPRINGS, AL 36089 (32.14621608000044, -85.71702095099965)
10112	BRYAN W WHITFIELD MEM HOSP INC	105 HIGHWAY 80 EAST	DEMOPOLIS	AL	36732	MARENGO	3342894000	Acute Care Hospitals	Government - Hospital District or Authority	TRUE	105 HIGHWAY 80 EAST DEMOPOLIS, AL 36732 (32.50364788200045, -87.83705445699968)
10113	MOBILE INFIRMARY	5 MOBILE INFIRMARY CIRCLE	MOBILE	AL	36652	MOBILE	2514354700	Acute Care Hospitals	Voluntary non-profit - Private	TRUE	5 MOBILE INFIRMARY CIRCLE MOBILE, AL 36652 (30.69545838400046, -88.08085473499966)
10114	MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM	995 9TH AVENUE SOUTHWEST	BESSEMER	AL	35021	JEFFERSON	2054817000	Acute Care Hospitals	Government - Hospital District or Authority	TRUE	995 9TH AVENUE SOUTHWEST BESSEMER, AL 35021 (33.37301485400047, -86.99174385199967)
10118	VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS	1015 MEDICAL CENTER PARKWAY	SELMA	AL	36701	DALLAS	3344184100	Acute Care Hospitals	Proprietary	TRUE	1015 MEDICAL CENTER PARKWAY SELMA, AL 36701 (32.43003551100048, -87.05490514999968)
10120	MONROE COUNTY HOSPITAL	2016 SOUTH ALABAMA AVENUE, BOX 886	MONROEVILLE	AL	36460	MONROE	2515753111	Acute Care Hospitals	Government - Local	TRUE	2016 SOUTH ALABAMA AVENUE, BOX 886 MONROEVILLE, AL 36460 (31.498385243000484, -87.31923289799965)
10125	LAKELAND COMMUNITY HOSPITAL	42024 HIGHWAY 195 E     POST OFFICE BOX 780	HALEYVILLE	AL	35565	WINSTON	2054857117	Acute Care Hospitals	Voluntary non-profit - Church	TRUE	42024 HIGHWAY 195 E POST OFFICE BOX 780 HALEYVILLE, AL 35565 (34.24109919900047, -87.59093156099965)
10126	TROY REGIONAL MEDICAL CENTER	1330 HIGHWAY 231 SOUTH	TROY	AL	36081	PIKE	3346705000	Acute Care Hospitals	Government - Federal	TRUE	1330 HIGHWAY 231 SOUTH TROY, AL 36081 (31.78039544200044, -85.94585267499968)
10128	JACKSON MEDICAL CENTER	220 HOSPITAL DRIVE	JACKSON	AL	36545	CLARKE	2512469021	Acute Care Hospitals	Proprietary	TRUE	220 HOSPITAL DRIVE JACKSON, AL 36545 (31.53060207900046, -87.89346675299964)
10129	NORTH BALDWIN INFIRMARY	1815 HAND AVENUE	BAY MINETTE	AL	36507	BALDWIN	2519375521	Acute Care Hospitals	Voluntary non-profit - Private	TRUE	1815 HAND AVENUE BAY MINETTE, AL 36507 (30.90193608800047, -87.78311330099967)
10130	ST VINCENT'S ST CLAIR	7063 VETERANS PARKWAY	PELL CITY	AL	35125	SAINT CLAIR	2053383301	Acute Care Hospitals	Voluntary non-profit - Private	TRUE	7063 VETERANS PARKWAY PELL CITY, AL 35125 (33.60499967600049, -86.30046997699964)
10131	CRESTWOOD MEDICAL CENTER	ONE HOSPITAL DR SE	HUNTSVILLE	AL	35801	MADISON	2568823100	Acute Care Hospitals	Proprietary	TRUE	ONE HOSPITAL DR SE HUNTSVILLE, AL 35801 (34.72638081500048, -86.57307567799967)
10138	HILL HOSPITAL OF SUMTER COUNTY	751 DERBY DRIVE	YORK	AL	36925	SUMTER	2053925263	Acute Care Hospitals	Voluntary non-profit - Other	TRUE	751 DERBY DRIVE YORK, AL 36925 (32.49162270900047, -88.29593629099969)
10139	BROOKWOOD MEDICAL CENTER	2010 BROOKWOOD MEDICAL CENTER DRIVE	BIRMINGHAM	AL	35209	JEFFERSON	2058771000	Acute Care Hospitals	Proprietary	TRUE	2010 BROOKWOOD MEDICAL CENTER DRIVE BIRMINGHAM, AL 35209 (33.46306652900046, -86.77656110699968)
10144	SPRINGHILL MEDICAL CENTER	3719 DAUPHIN STREET	MOBILE	AL	36608	MOBILE	2513449630	Acute Care Hospitals	Proprietary	TRUE	3719 DAUPHIN STREET MOBILE, AL 36608 (30.685856122000473, -88.13177286999968)
10146	JACKSONVILLE MEDICAL CENTER	1701 SOUTH PELHAM ROAD	JACKSONVILLE	AL	36265	CALHOUN	2567824538	Acute Care Hospitals	Proprietary	TRUE	1701 SOUTH PELHAM ROAD JACKSONVILLE, AL 36265 (33.78560261500047, -85.76124893399964)
10148	EVERGREEN MEDICAL CENTER	101 CRESTVIEW AVENUE	EVERGREEN	AL	36401	CONECUH	2515782480	Acute Care Hospitals	Proprietary	TRUE	101 CRESTVIEW AVENUE EVERGREEN, AL 36401 (31.431039418000466, -86.94130531599967)
10149	BAPTIST MEDICAL CENTER EAST	400 TAYLOR ROAD	MONTGOMERY	AL	36117	MONTGOMERY	3342448330	Acute Care Hospitals	Government - Hospital District or Authority	TRUE	400 TAYLOR ROAD MONTGOMERY, AL 36117 (32.37635761500047, -86.17186895999964)
01014F	BIRMINGHAM VA MEDICAL CENTER	700 SOUTH 19TH STREET	BIRMINGHAM	AL	35233	JEFFERSON	2059334515	ACUTE CARE - VETERANS ADMINISTRATION	Government Federal	FALSE	700 SOUTH 19TH STREET BIRMINGHAM, AL 35233 (33.505081033000465, -86.80121083799969)
10150	L V STABLER MEMORIAL HOSPITAL	29 L V STABLER DRIVE	GREENVILLE	AL	36037	BUTLER	3343822200	Acute Care Hospitals	Proprietary	TRUE	29 L V STABLER DRIVE GREENVILLE, AL 36037 (31.82974277700049, -86.64611473899964)
10157	SHOALS HOSPITAL	201 WEST AVALON AVENUE	MUSCLE SHOALS	AL	35661	COLBERT	2563861601	Acute Care Hospitals	Government - Hospital District or Authority	TRUE	201 WEST AVALON AVENUE MUSCLE SHOALS, AL 35661 (34.74499484400047, -87.67642553499968)
10158	RUSSELLVILLE HOSPITAL	15155 HIGHWAY 43	RUSSELLVILLE	AL	35653	FRANKLIN	2563321611	Acute Care Hospitals	Proprietary	TRUE	15155 HIGHWAY 43 RUSSELLVILLE, AL 35653 (34.51126099400045, -87.71760501499966)
10164	COOSA VALLEY MEDICAL CENTER	315 W HICKORY ST	SYLACAUGA	AL	35150	TALLADEGA	2562495000	Acute Care Hospitals	Voluntary non-profit - Other	TRUE	315 W HICKORY ST SYLACAUGA, AL 35150 (33.16464547300046, -86.25412046599968)
10168	JACK HUGHSTON MEMORIAL HOSPITAL	4401 RIVER CHASE DRIVE	PHENIX CITY	AL	36867	RUSSELL	3347323000	Acute Care Hospitals	Government - State	TRUE	4401 RIVER CHASE DRIVE PHENIX CITY, AL 36867 (32.509125106000454, -85.00575018799964)
10169	ATMORE COMMUNITY HOSPITAL	401 MEDICAL PARK DRIVE	ATMORE	AL	36502	ESCAMBIA	2513682500	Acute Care Hospitals	Government - Hospital District or Authority	TRUE	401 MEDICAL PARK DRIVE ATMORE, AL 36502 (31.01700038800044, -87.47965811999967)
01019F	VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY	215 PERRY HILL ROAD	MONTGOMERY	AL	36109	MONTGOMERY	3342604100	ACUTE CARE - VETERANS ADMINISTRATION	Government Federal	FALSE	215 PERRY HILL ROAD MONTGOMERY, AL 36109 (32.37989606800045, -86.24662606199968)
01021F	TUSCALOOSA VA MEDICAL CENTER	3701 LOOP ROAD	TUSCALOOSA	AL	35404	TUSCALOOSA	2055542000	ACUTE CARE - VETERANS ADMINISTRATION	Government Federal	FALSE	3701 LOOP ROAD TUSCALOOSA, AL 35404 (33.193212866000465, -87.48836588499967)
11300	WASHINGTON COUNTY HOSPITAL	14600 ST. STEPHENS AVENUE	CHATOM	AL	36518	WASHINGTON	2518472223	Critical Access Hospitals	Voluntary non-profit - Other	TRUE	14600 ST. STEPHENS AVENUE CHATOM, AL 36518 (31.45957368900048, -88.23330173799968)
11302	RED BAY HOSPITAL	211 HOSPITAL ROAD	RED BAY	AL	35582	FRANKLIN	2563569532	Critical Access Hospitals	Government - Hospital District or Authority	TRUE	211 HOSPITAL ROAD RED BAY, AL 35582 (34.45749636600044, -88.14712255699965)
11304	CHOCTAW GENERAL HOSPITAL	401 VANITY FAIR LANE, PO BOX 618	BUTLER	AL	36904	CHOCTAW	2054599100	Critical Access Hospitals	Voluntary non-profit - Private	TRUE	401 VANITY FAIR LANE, PO BOX 618 BUTLER, AL 36904 (32.10034222800044, -88.21280179099966)
13301	UNIVERSITY OF S A CHILDREN'S AND WOMEN'S HOS	1700 CENTER STREET	MOBILE	AL	36604	MOBILE	2514151000	Childrens	Government - State	TRUE	1700 CENTER STREET MOBILE, AL 36604 (30.69622702400045, -88.07744464199965)
20001	PROVIDENCE ALASKA MEDICAL CENTER	BOX 196604	ANCHORAGE	AK	99519	ANCHORAGE	9072613675	Acute Care Hospitals	Voluntary non-profit - Private	TRUE	BOX 196604 ANCHORAGE, AK 99519 (61.184766062000506, -149.98875682599973)
20006	MAT-SU REGIONAL MEDICAL CENTER	2500 SOUTH WOODWORTH LOOP	PALMER	AK	99645	MATANUSKA SUSITNA	9077468600	Acute Care Hospitals	Voluntary non-profit - Private	TRUE	2500 SOUTH WOODWORTH LOOP PALMER, AK 99645 (61.56200592200048, -149.26054740599974)
20008	BARTLETT REGIONAL HOSPITAL	3260 HOSPITAL DR	JUNEAU	AK	99801	JUNEAU	9077968900	Acute Care Hospitals	Government - Local	TRUE	3260 HOSPITAL DR JUNEAU, AK 99801 (58.3294425250005, -134.4658550529997)
20012	FAIRBANKS MEMORIAL HOSPITAL	1650 COWLES STREET	FAIRBANKS	AK	99701	FAIRBANKS NORTH STAR	9074528181	Acute Care Hospitals	Voluntary non-profit - Other	TRUE	1650 COWLES STREET FAIRBANKS, AK 99701 (64.8329482150005, -147.73656572899972)
20017	ALASKA REGIONAL HOSPITAL	2801 DEBARR ROAD	ANCHORAGE	AK	99508	ANCHORAGE	9072761131	Acute Care Hospitals	Proprietary	TRUE	2801 DEBARR ROAD ANCHORAGE, AK 99508 (61.209756029000516, -149.82899175899973)
20018	YUKON KUSKOKWIM DELTA REG HOSPITAL	PO BOX 287	BETHEL	AK	99559	BETHEL	9075436300	Acute Care Hospitals	Government - Federal	TRUE	PO BOX 287 BETHEL, AK 99559 (60.784369460000505, -161.79026971399975)
20024	CENTRAL PENINSULA GENERAL HOSPITAL	250 HOSPITAL PLACE	SOLDOTNA	AK	99669	KENAI PENINSULA	9072624404	Acute Care Hospitals	Voluntary non-profit - Other	TRUE	250 HOSPITAL PLACE SOLDOTNA, AK 99669 (60.49373236400049, -151.07808299499973)
